movieId;title;rating
1;Toy Story (1995);5.0
2;Jumanji (1995);2.0
6;Heat (1995);4.0
10;GoldenEye (1995);3.5
13;Balto (1995);3.0
16;Casino (1995);4.0
19;Ace Ventura: When Nature Calls (1995);1.0
25;Leaving Las Vegas (1995);4.5
34;Babe (1995);4.0
44;Mortal Kombat (1995);1.0
47;Seven (a.k.a. Se7en) (1995);4.0
48;Pocahontas (1995);3.0
107;Muppet Treasure Island (1996);2.0
110;Braveheart (1995);4.5
150;Apollo 13 (1995);3.5
151;Rob Roy (1995);4.0
153;Batman Forever (1995);4.0
260;Star Wars: Episode IV - A New Hope (1977);5.0
261;Little Women (1994);3.0
296;Pulp Fiction (1994);4.0
296;Pulp Fiction (1994);4.0
345;Adventures of Priscilla, Queen of the Desert, The (1994);2.0
355;Flintstones, The (1994);1.5
356;Forrest Gump (1994);5.0
357;Four Weddings and a Funeral (1994);4.0
364;Lion King, The (1994);4.0
367;Mask, The (1994);2.0
372;Reality Bites (1994);2.5
377;Speed (1994);3.5
393;Street Fighter (1994);1.0
435;Coneheads (1993);1.0
442;Demolition Man (1993);1.0
475;In the Name of the Father (1993);4.5
480;Jurassic Park (1993);3.5
500;Mrs. Doubtfire (1993);3.0
508;Philadelphia (1993);4.0
509;Piano, The (1993);4.0
512;Puppet Masters, The (1994);2.0
519;RoboCop 3 (1993);1.5
527;Schindler's List (1993);4.0
539;Sleepless in Seattle (1993);4.0
541;Blade Runner (1982);2.0
546;Super Mario Bros. (1993);1.5
552;Three Musketeers, The (1993);2.5
587;Ghost (1990);3.5
588;Aladdin (1992);4.0
589;Terminator 2: Judgment Day (1991);3.5
590;Dances with Wolves (1990);4.5
592;Batman (1989);4.0
593;Silence of the Lambs, The (1991);4.0
594;Snow White and the Seven Dwarfs (1937);3.5
595;Beauty and the Beast (1991);4.0
596;Pinocchio (1940);3.5
597;Pretty Woman (1990);4.0
608;Fargo (1996);4.0
720;Wallace & Gromit: The Best of Aardman Animation (1996);3.5
736;Twister (1996);3.0
745;Wallace & Gromit: A Close Shave (1995);3.5
784;Cable Guy, The (1996);1.0
839;Crow: City of Angels, The (1996);3.5
919;Wizard of Oz, The (1939);3.0
920;Gone with the Wind (1939);3.5
923;Citizen Kane (1941);2.5
1022;Cinderella (1950);3.5
1023;Winnie the Pooh and the Blustery Day (1968);3.0
1024;Three Caballeros, The (1945);3.5
1027;Robin Hood: Prince of Thieves (1991);3.5
1028;Mary Poppins (1964);4.0
1029;Dumbo (1941);3.5
1030;Pete's Dragon (1977);2.0
1032;Alice in Wonderland (1951);4.0
1033;Fox and the Hound, The (1981);4.0
1064;Aladdin and the King of Thieves (1996);4.0
1080;Monty Python's Life of Brian (1979);4.5
1088;Dirty Dancing (1987);3.5
1089;Reservoir Dogs (1992);4.0
1090;Platoon (1986);4.0
1097;E.T. the Extra-Terrestrial (1982);4.0
1196;Star Wars: Episode V - The Empire Strikes Back (1980);4.5
1197;Princess Bride, The (1987);5.0
1203;12 Angry Men (1957);3.5
1208;Apocalypse Now (1979);4.0
1210;Star Wars: Episode VI - Return of the Jedi (1983);4.5
1214;Alien (1979);4.0
1240;Terminator, The (1984);4.0
1274;Akira (1988);1.0
1291;Indiana Jones and the Last Crusade (1989);5.0
1339;Dracula (Bram Stoker's Dracula) (1992);1.5
1367;101 Dalmatians (1996);3.5
1370;Die Hard 2 (1990);3.5
1380;Grease (1978);4.0
1381;Grease 2 (1982);2.5
1387;Jaws (1975);4.0
1388;Jaws 2 (1978);2.0
1617;L.A. Confidential (1997);3.5
1641;Full Monty, The (1997);4.0
1681;Mortal Kombat: Annihilation (1997);1.0
1721;Titanic (1997);4.5
1969;Nightmare on Elm Street 2: Freddy's Revenge, A (1985);1.0
1970;Nightmare on Elm Street 3: Dream Warriors, A (1987);1.0
1971;Nightmare on Elm Street 4: The Dream Master, A (1988);1.0
1972;Nightmare on Elm Street 5: The Dream Child, A (1989);1.0
1973;Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991);1.0
1974;Friday the 13th (1980);1.0
1975;Friday the 13th Part 2 (1981);1.0
1976;Friday the 13th Part 3: 3D (1982);1.0
1977;Friday the 13th Part IV: The Final Chapter (1984);1.0
1978;Friday the 13th Part V: A New Beginning (1985);1.0
1979;Friday the 13th Part VI: Jason Lives (1986);1.0
1980;Friday the 13th Part VII: The New Blood (1988);1.0
1981;Friday the 13th Part VIII: Jason Takes Manhattan (1989);1.0
1982;Halloween (1978);1.0
1983;Halloween II (1981);1.0
1984;Halloween III: Season of the Witch (1982);1.0
1997;Exorcist, The (1973);1.0
1998;Exorcist II: The Heretic (1977);1.0
1999;Exorcist III, The (1990);1.0
2003;Gremlins (1984);4.0
2005;Goonies, The (1985);5.0
2006;Mask of Zorro, The (1998);3.0
2028;Saving Private Ryan (1998);5.0
2105;Tron (1982);4.0
2328;Vampires (1998);1.0
2407;Cocoon (1985);3.0
2420;Karate Kid, The (1984);3.5
2421;Karate Kid, Part II, The (1986);3.5
2422;Karate Kid, Part III, The (1989);2.0
2571;Matrix, The (1999);4.0
2640;Superman (1978);3.5
2687;Tarzan (1999);4.0
2710;Blair Witch Project, The (1999);1.0
2797;Big (1988);4.0
2872;Excalibur (1981);3.5
3114;Toy Story 2 (1999);4.5
4022;Cast Away (2000);4.0
4034;Traffic (2000);4.0
6365;Matrix Reloaded, The (2003);3.5
6934;Matrix Revolutions, The (2003);2.5
8529;Terminal, The (2004);4.0
8644;I, Robot (2004);3.5
8665;Bourne Supremacy, The (2004);3.5
8666;Catwoman (2004);1.5
26776;Porco Rosso (Crimson Pig) (Kurenai no buta) (1992);4.5
72998;Avatar (2009);4.0
78499;Toy Story 3 (2010);4.5
91126;War Horse (2011);3.5
92234;Red Tails (2012);3.5
107141;Saving Mr. Banks (2013);4.0
114662;American Sniper (2014);4.0
115210;Fury (2014);4.5
116529;Stalingrad (2013);4.0
122886;Star Wars: Episode VII - The Force Awakens (2015);2.0
126430;The Pacific (2010);3.5
164909;La La Land (2016);4.5
166461;Moana (2016);4.5
166528;Rogue One: A Star Wars Story (2016);4.0
168492;Call Me by Your Name (2017);3.5
170705;Band of Brothers (2001);4.0
174055;Dunkirk (2017);4.0
175303;It (2017);2.0
177765;Coco (2017);4.5
179819;Star Wars: The Last Jedi (2017);1.5
187541;Incredibles 2 (2018);3.5
187595;Solo: A Star Wars Story (2018);3.5